FID,LAD19CD,LAD19NM,PHEC19CD,PHEC19CDH,PHEC19NM,PHEREG19CD,PHEREG19CDH,PHEREG19NM
101,E07000062,Hastings,E45000019,X25004AH,South East,E46000004,X25004,South of England
102,E09000023,Lewisham,E45000001,X25001AA,London,E46000001,X25001,London
103,E07000063,Lewes,E45000019,X25004AH,South East,E46000004,X25004,South of England
104,E09000024,Merton,E45000001,X25001AA,London,E46000001,X25001,London
105,E07000064,Rother,E45000019,X25004AH,South East,E46000004,X25004,South of England
106,E09000025,Newham,E45000001,X25001AA,London,E46000001,X25001,London
107,E07000065,Wealden,E45000019,X25004AH,South East,E46000004,X25004,South of England
108,E09000026,Redbridge,E45000001,X25001AA,London,E46000001,X25001,London
109,E07000084,Basingstoke and Deane,E45000019,X25004AH,South East,E46000004,X25004,South of England
110,E09000027,Richmond upon Thames,E45000001,X25001AA,London,E46000001,X25001,London
111,E07000085,East Hampshire,E45000019,X25004AH,South East,E46000004,X25004,South of England
112,E09000028,Southwark,E45000001,X25001AA,London,E46000001,X25001,London
113,E07000086,Eastleigh,E45000019,X25004AH,South East,E46000004,X25004,South of England
114,E09000029,Sutton,E45000001,X25001AA,London,E46000001,X25001,London
115,E07000087,Fareham,E45000019,X25004AH,South East,E46000004,X25004,South of England
116,E09000030,Tower Hamlets,E45000001,X25001AA,London,E46000001,X25001,London
117,E07000088,Gosport,E45000019,X25004AH,South East,E46000004,X25004,South of England
118,E09000031,Waltham Forest,E45000001,X25001AA,London,E46000001,X25001,London
119,E07000089,Hart,E45000019,X25004AH,South East,E46000004,X25004,South of England
120,E09000032,Wandsworth,E45000001,X25001AA,London,E46000001,X25001,London
121,E07000090,Havant,E45000019,X25004AH,South East,E46000004,X25004,South of England
122,E07000091,New Forest,E45000019,X25004AH,South East,E46000004,X25004,South of England
123,E07000092,Rushmoor,E45000019,X25004AH,South East,E46000004,X25004,South of England
124,E07000093,Test Valley,E45000019,X25004AH,South East,E46000004,X25004,South of England
125,E07000094,Winchester,E45000019,X25004AH,South East,E46000004,X25004,South of England
126,E07000105,Ashford,E45000019,X25004AH,South East,E46000004,X25004,South of England
127,E07000106,Canterbury,E45000019,X25004AH,South East,E46000004,X25004,South of England
128,E07000107,Dartford,E45000019,X25004AH,South East,E46000004,X25004,South of England
129,E07000108,Dover,E45000019,X25004AH,South East,E46000004,X25004,South of England
130,E07000109,Gravesham,E45000019,X25004AH,South East,E46000004,X25004,South of England
131,E07000110,Maidstone,E45000019,X25004AH,South East,E46000004,X25004,South of England
132,E07000111,Sevenoaks,E45000019,X25004AH,South East,E46000004,X25004,South of England
133,E07000112,Folkestone and Hythe,E45000019,X25004AH,South East,E46000004,X25004,South of England
134,E07000113,Swale,E45000019,X25004AH,South East,E46000004,X25004,South of England
135,E07000114,Thanet,E45000019,X25004AH,South East,E46000004,X25004,South of England
136,E07000115,Tonbridge and Malling,E45000019,X25004AH,South East,E46000004,X25004,South of England
137,E07000116,Tunbridge Wells,E45000019,X25004AH,South East,E46000004,X25004,South of England
138,E07000177,Cherwell,E45000019,X25004AH,South East,E46000004,X25004,South of England
139,E07000178,Oxford,E45000019,X25004AH,South East,E46000004,X25004,South of England
140,E09000033,Westminster,E45000001,X25001AA,London,E46000001,X25001,London
141,E06000019,"Herefordshire, County of",E45000005,X25002AE,West Midlands,E46000002,X25002,Midlands and East of England
142,E06000020,Telford and Wrekin,E45000005,X25002AE,West Midlands,E46000002,X25002,Midlands and East of England
143,E06000021,Stoke-on-Trent,E45000005,X25002AE,West Midlands,E46000002,X25002,Midlands and East of England
144,E06000051,Shropshire,E45000005,X25002AE,West Midlands,E46000002,X25002,Midlands and East of England
145,E07000192,Cannock Chase,E45000005,X25002AE,West Midlands,E46000002,X25002,Midlands and East of England
146,E07000193,East Staffordshire,E45000005,X25002AE,West Midlands,E46000002,X25002,Midlands and East of England
147,E07000194,Lichfield,E45000005,X25002AE,West Midlands,E46000002,X25002,Midlands and East of England
148,E07000195,Newcastle-under-Lyme,E45000005,X25002AE,West Midlands,E46000002,X25002,Midlands and East of England
149,E07000196,South Staffordshire,E45000005,X25002AE,West Midlands,E46000002,X25002,Midlands and East of England
